Disaster Number,IH Program Declared,IA Program Declared,PA Program Declared,HM Program Declared,State,Declaration Date,Disaster Type,Incident Type,Title,Incident Begin Date,Incident End Date,Disaster Close Out Date,Place Code,Declared County/Area,Declaration Request Number
1361,No,Yes,Yes,Yes,WA,2001/3/1 20:30,DR,Earthquake,EARTHQUAKE,2001/2/28 8:54,2001/3/16 0:00,2011/10/25 0:00,99073,Whatcom (County),1025
1361,No,Yes,Yes,Yes,WA,2001/3/1 20:30,DR,Earthquake,EARTHQUAKE,2001/2/28 8:54,2001/3/16 0:00,2011/10/25 0:00,99077,Yakima (County),1025
1342,No,Yes,No,Yes,CA,2000/9/14 18:00,DR,Earthquake,EARTHQUAKE,2000/9/3 1:36,2000/9/3 0:00,2010/8/4 0:00,99055,Napa (County),141
1008,No,Yes,Yes,Yes,CA,1994/1/17 0:00,DR,Earthquake, NORTHRIDGE EARTHQUAKE,1994/1/17 0:00,1994/11/30 0:00,2017/9/29 23:59,99037,Los Angeles (County),94003
1008,No,Yes,Yes,Yes,CA,1994/1/17 0:00,DR,Earthquake, NORTHRIDGE EARTHQUAKE,1994/1/17 0:00,1994/11/30 0:00,2017/9/29 23:59,99059,Orange (County),94003
1008,No,Yes,Yes,Yes,CA,1994/1/17 0:00,DR,Earthquake, NORTHRIDGE EARTHQUAKE,1994/1/17 0:00,1994/11/30 0:00,2017/9/29 23:59,99111,Ventura (County),94003
1004,No,No,Yes,Yes,OR,1993/10/15 0:00,DR,Earthquake,EARTHQUAKES,1993/9/20 0:00,1993/9/20 0:00,2010/2/17 12:00,99035,Klamath (County),93063
985,No,No,Yes,Yes,OR,1993/4/26 0:00,DR,Earthquake,EARTHQUAKE,1993/3/25 0:00,1993/3/25 0:00,2001/3/16 0:00,99005,Clackamas (County),93044
985,No,No,Yes,Yes,OR,1993/4/26 0:00,DR,Earthquake,EARTHQUAKE,1993/3/25 0:00,1993/3/25 0:00,2001/3/16 0:00,99047,Marion (County),93044
985,No,No,Yes,Yes,OR,1993/4/26 0:00,DR,Earthquake,EARTHQUAKE,1993/3/25 0:00,1993/3/25 0:00,2001/3/16 0:00,99067,Washington (County),93044
985,No,No,Yes,Yes,OR,1993/4/26 0:00,DR,Earthquake,EARTHQUAKE,1993/3/25 0:00,1993/3/25 0:00,2001/3/16 0:00,99071,Yamhill (County),93044
947,No,Yes,Yes,Yes,CA,1992/7/2 0:00,DR,Earthquake,EARTHQUAKE & AFTERSHOCKS,1992/6/28 0:00,1992/10/31 0:00,2010/8/6 0:00,99065,Riverside (County),92023
947,No,Yes,Yes,Yes,CA,1992/7/2 0:00,DR,Earthquake,EARTHQUAKE & AFTERSHOCKS,1992/6/28 0:00,1992/10/31 0:00,2010/8/6 0:00,99071,San Bernardino (County),92023
943,No,Yes,Yes,Yes,CA,1992/5/4 0:00,DR,Earthquake,EARTHQUAKE & AFTERSHOCKS,1992/4/25 0:00,1992/5/25 0:00,2010/8/9 0:00,99023,Humboldt (County),92014
845,No,Yes,Yes,Yes,CA,1989/10/18 0:00,DR,Earthquake,LOMA PRIETA EARTHQUAKE,1989/10/17 0:00,1989/12/18 0:00,2011/2/10 0:00,99001,Alameda (County),89043
845,No,Yes,Yes,Yes,CA,1989/10/18 0:00,DR,Earthquake,LOMA PRIETA EARTHQUAKE,1989/10/17 0:00,1989/12/18 0:00,2011/2/10 0:00,99013,Contra Costa (County),89043
845,No,Yes,Yes,Yes,CA,1989/10/18 0:00,DR,Earthquake,LOMA PRIETA EARTHQUAKE,1989/10/17 0:00,1989/12/18 0:00,2011/2/10 0:00,99041,Marin (County),89043
845,No,Yes,Yes,Yes,CA,1989/10/18 0:00,DR,Earthquake,LOMA PRIETA EARTHQUAKE,1989/10/17 0:00,1989/12/18 0:00,2011/2/10 0:00,99053,Monterey (County),89043
845,No,Yes,Yes,Yes,CA,1989/10/18 0:00,DR,Earthquake,LOMA PRIETA EARTHQUAKE,1989/10/17 0:00,1989/12/18 0:00,2011/2/10 0:00,99067,Sacramento (County),89043
