Disaster Number,IH Program Declared,IA Program Declared,PA Program Declared,HM Program Declared,State,Declaration Date,Disaster Type,Incident Type,Title,Incident Begin Date,Incident End Date,Disaster Close Out Date,Place Code,Declared County/Area,Declaration Request Number
2590,No,No,Yes,No,OK,2005/12/2 11:15,FM,Fire,TEXANNA ROAD FIRE,2005/11/27 0:00,,2010/4/9 0:00,99091,McIntosh (County),6031
2589,No,No,Yes,No,OK,2005/11/30 18:02,FM,Fire,ANTIOCH FIRE ,2005/11/27 0:00,,2010/4/9 0:00,99049,Garvin (County),6006
2588,No,No,Yes,No,OK,2005/11/30 16:26,FM,Fire,VELMA FIRE COMPLEX ,2005/11/29 0:00,,2010/4/9 0:00,99019,Carter (County),6027
2587,No,No,Yes,No,OK,2005/11/29 18:53,FM,Fire,FLAT ROCK FIRE COMPLEX,2005/11/27 0:00,,2010/4/9 0:00,99097,Mayes (County),6030
2586,No,No,Yes,No,CA,2005/11/18 17:05,FM,Fire,SCHOOL FIRE,2005/11/18 6:30,2005/11/23 21:00,2009/12/3 0:00,99111,Ventura (County),5156
2585,No,No,Yes,No,CA,2005/10/6 17:51,FM,Fire,BORDER # 50 FIRE,2005/10/5 12:17,2005/10/10 21:00,2009/12/3 0:00,99073,San Diego (County),5143
2584,No,No,Yes,No,CA,2005/10/6 1:33,FM,Fire,WOODHOUSE FIRE,2005/10/5 20:06,2005/10/8 21:00,2009/12/3 0:00,99065,Riverside (County),5142
2583,No,No,Yes,No,CA,2005/9/28 22:07,FM,Fire,TOPANGA FIRE,2005/9/28 16:50,2005/10/10 21:00,2009/12/3 0:00,99037,Los Angeles (County),5141
2583,No,No,Yes,No,CA,2005/9/28 22:07,FM,Fire,TOPANGA FIRE,2005/9/28 16:50,2005/10/10 21:00,2009/12/3 0:00,99111,Ventura (County),5141
2582,No,No,Yes,No,CA,2005/9/5 22:30,FM,Fire,SUNDEVIL FIRE,2005/9/5 16:30,2005/9/7 21:00,2009/12/3 0:00,99073,San Diego (County),5098
2581,No,No,Yes,No,NV,2005/8/29 16:56,FM,Fire,CHANCE FIRE,2005/8/28 16:36,2005/9/3 21:00,2007/2/28 0:00,99007,Elko (County),5086
2580,No,No,Yes,No,CA,2005/8/26 22:37,FM,Fire,MANTON FIRE,2005/8/26 18:00,2005/9/2 21:00,2009/9/29 0:00,99089,Shasta (County),5083
2580,No,No,Yes,No,CA,2005/8/26 22:37,FM,Fire,MANTON FIRE,2005/8/26 18:00,2005/9/2 21:00,2009/9/29 0:00,99103,Tehama (County),5083
2579,No,No,Yes,No,OR,2005/8/25 23:46,FM,Fire,DEER CREEK FIRE,2005/8/25 18:00,2005/9/1 22:00,2007/3/23 23:59,99033,Josephine (County),5133
2578,No,No,Yes,No,NV,2005/8/22 21:53,FM,Fire,VOR-MCCARTY FIRE,2005/8/22 18:00,2005/8/25 21:00,2007/2/28 0:00,99007,Elko (County),5076
2577,No,No,Yes,No,HI,2005/8/19 0:50,FM,Fire,WAIKELE FIRE,2005/8/17 19:33,2005/8/20 21:19,2007/6/25 0:00,99003,Honolulu (County),5075
2576,No,No,Yes,No,HI,2005/8/15 22:01,FM,Fire,NANAKULI BRUSH FIRE,2005/8/14 18:30,2005/8/20 22:24,2010/9/29 0:00,99003,Honolulu (County),5073
2575,No,No,Yes,No,WA,2005/8/7 3:45,FM,Fire,SCHOOL FIRE,2005/8/7 3:01,2005/8/19 3:00,2007/7/25 0:00,99013,Columbia (County),5070
2575,No,No,Yes,No,WA,2005/8/7 3:45,FM,Fire,SCHOOL FIRE,2005/8/7 3:01,2005/8/19 3:00,2007/7/25 0:00,99023,Garfield (County),5070
2574,No,No,Yes,No,HI,2005/8/4 4:03,FM,Fire,AKONI PULE HIGHWAY FIRE,2005/8/2 21:19,2005/8/6 21:00,2008/2/20 0:00,99001,Hawaii (County),5069
2573,No,No,Yes,No,HI,2005/8/2 2:58,FM,Fire,LALAMILO FIRE,2005/8/1 20:17,2005/8/6 15:26,2008/2/20 0:00,99001,Hawaii (County),5065
2572,No,No,Yes,No,WA,2005/8/1 19:24,FM,Fire,DIRTY FACE FIRE,2005/7/31 21:00,2005/8/8 3:00,2007/7/25 0:00,99007,Chelan (County),5066
2571,No,No,Yes,No,CA,2005/7/25 22:51,FM,Fire,CA-QUARTZ FIRE-7-25-2005,2005/7/25 15:06,2005/7/29 0:00,2009/10/13 0:00,99039,Madera (County),5061
2570,No,No,Yes,No,AZ,2005/7/22 13:47,FM,Fire,AZ-WILDFIRE (EDGE COMPLEX) 07-22-2005,2005/7/21 11:00,2005/7/24 23:00,2008/12/30 0:00,99007,Gila (County),5062
2570,No,No,Yes,No,AZ,2005/7/22 13:47,FM,Fire,AZ-WILDFIRE (EDGE COMPLEX) 07-22-2005,2005/7/21 11:00,2005/7/24 23:00,2008/12/30 0:00,99013,Maricopa (County),5062
2569,No,No,Yes,No,SD,2005/7/16 23:25,FM,Fire,SD SKYLINE #2 FIRE 7/16/05,2005/7/16 17:09,2005/7/17 8:00,2006/10/20 0:00,99103,Pennington (County),5060
2568,No,No,Yes,No,NV,2005/7/16 19:50,FM,Fire,CARLIN FIRE,2005/7/16 15:30,2005/7/18 21:00,2007/3/1 0:00,99007,Elko (County),5059
2568,No,No,Yes,No,NV,2005/7/16 19:50,FM,Fire,CARLIN FIRE,2005/7/16 15:30,2005/7/18 21:00,2007/3/1 0:00,99011,Eureka (County),5059
2567,No,No,Yes,No,NV,2005/7/16 16:53,FM,Fire,CONTACT FIRE,2005/7/15 19:00,2005/7/21 21:00,2007/3/1 0:00,99007,Elko (County),5058
2566,No,No,Yes,No,CO,2005/7/10 16:06,FM,Fire,MASON FIRE ,2005/7/8 6:00,2005/7/17 22:00,2010/7/7 0:00,99027,Custer (County),5056
